alpha_id,family,hypothesis,train_bars,train_net_return,train_net_sharpe_daily,train_max_drawdown,train_ic_1m,train_rank_ic_1m,train_avg_turnover_per_bar,train_mean_abs_position,val_bars,val_net_return,val_net_sharpe_daily,val_max_drawdown,val_ic_1m,val_rank_ic_1m,val_avg_turnover_per_bar,val_mean_abs_position,direction_consistent,phase1_candidate
FUNDING_CROWDING_MR,Carry / Funding,Extreme funding proxies crowded positioning.,1893888,-0.3794430840584626,-0.22469274890167984,-0.4747447073892255,0.002296433250300369,-0.002401645620394005,0.0013033471676019684,0.37014047903418235,631296,-0.47143956250956665,-2.430234879317655,-0.49717738005983614,5.4402877491515836e-05,-0.00232267053219157,0.0013014920683944696,0.3806518371087234,True,False
MOM_240,Momentum / Trend,240m directional persistence.,1893888,-0.9999999999999988,-25.449023599956792,-0.9999999999999988,-0.008948534183509797,-0.013194874517302219,0.02848791877264405,0.29219635076098766,631296,-0.9999864615063262,-33.18518254852605,-0.9999864648255379,-0.005895445511538562,-0.009883946893960747,0.029038389198453685,0.29538264281377685,True,False
BTC_ETH_RESID_MR_060,Beta / Residual,BTC residual versus ETH crypto-beta mean reverts.,1893888,-1.0,-39.38371115574031,-1.0,0.00897450268450264,0.018570406626167664,0.051314348318167294,0.24337687073783287,631296,-0.9999999896730889,-51.94133655502511,-0.999999989672672,0.0037837865646284208,0.009038067386679642,0.0500337890040325,0.25481182232405447,True,False
MOM_060,Momentum / Trend,60m directional persistence.,1893888,-1.0,-41.184353202274814,-1.0,-0.012623327515413342,-0.02857858783680761,0.04787798257121725,0.244538493338736,631296,-0.9999999946638949,-52.514474446862735,-0.9999999946637401,-0.011362797826766184,-0.021815322760210996,0.04833717470225831,0.248825557282919,True,False
BTC_BETA_RESID_MOM_240,Beta / Residual,Persistent beta-neutral residual can trend.,1893888,-1.0,-49.227022244599944,-1.0,-0.01690722501537934,-0.00995089062690541,0.1529759262215324,0.26574935147761175,631296,-1.0,-58.53023516257718,-1.0,0.0034459339929991837,-0.00356628898106886,0.18302138799698137,0.2762171474641557,True,False
OFI_060,Order Flow,Sustained taker imbalance captures informed pressure.,1893888,-1.0,-53.157499493677115,-1.0,-0.0033700301144195203,-0.01513227953748801,0.04804623660930648,0.2734163189042356,631296,-0.9999999089862314,-68.49022418445229,-0.9999999089851356,-0.003488428623331903,-0.011648004236043825,0.04121950489018384,0.2710144340899023,True,False
PERP_SPOT_BASIS_MR,Relative Value,Abnormal perp-vs-spot basis mean reverts.,1893888,-1.0,-47.21025225148636,-1.0,0.020912566005666443,0.020848970840046943,0.17574604604347427,0.27844621977773876,631296,-1.0,-69.93609747447191,-1.0,0.013508080926956796,0.015025298837515553,0.22294010342427592,0.28130429007753416,True,False
BTC_BETA_RESID_MR_060,Beta / Residual,Contract-specific beta-neutral residual mean reverts.,1893888,-1.0,-60.10213229072934,-1.0,0.01886507732206121,0.010764749706030042,0.1899836245472699,0.24699395304922622,631296,-1.0,-73.14428178771449,-1.0,-0.007251603354779399,0.0017631864258278417,0.22739049454014182,0.25785291088477735,True,False
MR_Z_240,Mean Reversion,240m price dislocation reversion.,1893888,-1.0,-49.25764358165353,-1.0,0.0055693843555613435,0.02729483469479274,0.04193050144015051,0.27836445040890867,631296,-0.9999997515462304,-75.13537508874329,-0.9999997515697236,0.0053322247082595075,0.01909108609890094,0.04171469191293196,0.28299813026725423,True,False
MOM_015,Momentum / Trend,15m directional persistence.,1893888,-1.0,-72.82958424276418,-1.0,-0.0154167313419337,-0.04031685449211008,0.08801136826846669,0.22837715742036943,631296,-0.999999999999999,-82.0897685197959,-0.999999999999999,-0.019816581588281094,-0.023877989229402607,0.08815380577048867,0.23478079298574708,True,False
VOL_EXP_MOM_060,Volatility,Trend continuation strengthens in volatility expansion.,1893888,-1.0,-70.21368245243887,-1.0,-0.002607191903644914,-0.005416157842758378,0.07911055846430218,0.26423539730247536,631296,-0.9999999999998624,-86.12500891733542,-0.9999999999998624,-0.002246334340913886,-0.004212022991893284,0.07771555882615715,0.26836244948153976,True,False
OFI_020,Order Flow,Persistent taker imbalance contains information.,1893888,-1.0,-79.52989798805585,-1.0,-0.006767737989217167,-0.025423059498317115,0.07866088514074118,0.2675914322001791,631296,-0.9999999999981374,-100.06131870991781,-0.9999999999981373,-0.00552033321735476,-0.01557563198351748,0.06887617621503402,0.2665992593675164,True,False
MR_Z_060,Mean Reversion,60m price dislocation reversion.,1893888,-1.0,-99.55923834461021,-1.0,0.008294504011699988,0.04315352741277868,0.07925982245784496,0.27643155755248183,631296,-0.9999999999994583,-143.4223318305928,-0.9999999999994583,0.007515898346574346,0.026212456834149196,0.07727008164027573,0.27911033216041503,True,False
OFI_001,Order Flow,Aggressive taker imbalance contains information.,1893888,-1.0,-182.3870090614184,-1.0,-0.007344289014753917,-0.026131191627226685,0.3562357716119403,0.2772788646755597,631296,-1.0,-186.78711341383345,-1.0,-0.005450544461547783,-0.015354156775408242,0.34758324350008163,0.27778829465962357,True,False
